frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-01T22:24:18.774+09:00,0.179,0,6.30,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,0,-0.630921,1.000000,1.000000,0,743,green,0,unknown,0.000000,null,0.000000,0.158,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.158,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-01T22:24:18.896+09:00,0.309,1,6.86,0,DRIVING,,0,1,0,-0.181447,-0.482448,-0.482448,0,743,green,0,unknown,0.000000,null,0.000000,0.084,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.084,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-01T22:24:19.020+09:00,0.430,2,7.31,0,DRIVING,,0,1,0,-0.182070,-0.237490,-0.237490,0,743,green,0,unknown,0.000000,null,0.000000,0.204,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.204,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-01T22:24:19.123+09:00,0.536,3,7.71,0,DRIVING,,0,1,0,-0.182473,-0.066473,-0.066473,0,742,green,0,unknown,0.000000,null,0.000000,0.197,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.197,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-01T22:24:19.239+09:00,0.651,4,7.89,0,DRIVING,,0,1,0,-0.182070,0.050552,0.050552,0,743,green,0,unknown,0.000000,null,0.000000,0.188,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.188,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-01T22:24:19.353+09:00,0.765,5,8.04,0,DRIVING,,0,1,0,-0.181775,0.132641,0.132641,0,743,green,0,unknown,0.000000,null,0.000000,0.301,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.301,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-01T22:24:19.457+09:00,0.871,6,8.21,0,DRIVING,,0,1,0,-0.182070,0.192070,0.192070,0,743,green,0,unknown,0.000000,null,0.000000,0.304,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.304,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-01T22:24:19.568+09:00,0.982,7,8.31,0,DRIVING,,0,1,0,-0.182124,0.232961,0.232961,0,744,green,0,unknown,0.000000,null,0.000000,0.300,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.300,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-01T22:24:19.683+09:00,1.095,8,8.36,0,DRIVING,,0,1,0,-0.182016,0.261031,0.261031,0,742,green,0,unknown,0.000000,null,0.000000,0.411,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.411,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-01T22:24:19.783+09:00,1.196,9,8.49,0,DRIVING,,0,1,0,-0.182016,0.281010,0.281010,0,744,green,0,unknown,0.000000,null,0.000000,0.294,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.294,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
11,2026-08-01T22:24:19.890+09:00,1.303,10,8.56,0,DRIVING,,0,1,0,-0.182016,0.294996,0.294996,0,742,green,0,unknown,0.000000,null,0.000000,0.292,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.292,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
12,2026-08-01T22:24:20.000+09:00,1.413,11,8.61,0,DRIVING,,0,1,0,-0.182365,0.306043,0.306043,0,743,green,0,unknown,0.000000,null,0.000000,0.400,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.400,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
13,2026-08-01T22:24:20.109+09:00,1.521,12,8.65,0,DRIVING,,0,1,0,-0.182527,0.313291,0.313291,0,744,green,0,unknown,0.000000,null,0.000000,0.294,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.294,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
14,2026-08-01T22:24:20.206+09:00,1.620,13,8.74,0,DRIVING,,0,1,0,-0.182527,0.317868,0.317868,0,743,green,0,unknown,0.000000,null,0.000000,0.286,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.286,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
15,2026-08-01T22:24:20.324+09:00,1.737,14,8.73,0,DRIVING,,0,1,0,-0.182419,0.320683,0.320683,0,743,green,0,unknown,0.000000,null,0.000000,0.403,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.403,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
16,2026-08-01T22:24:20.422+09:00,1.834,15,8.81,0,DRIVING,,0,1,0,-0.182792,0.324327,0.324327,0,743,green,0,unknown,0.000000,null,0.000000,0.282,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.282,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
17,2026-08-01T22:24:20.527+09:00,1.940,16,8.84,0,DRIVING,,0,1,0,-0.188291,0.345531,0.345531,0,742,green,0,unknown,0.000000,null,0.000000,0.291,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.291,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
18,2026-08-01T22:24:20.640+09:00,2.054,17,8.84,0,DRIVING,,0,1,0,-0.196262,0.372245,0.372245,0,743,green,0,unknown,0.000000,null,0.000000,0.188,,"{""0"": 250, ""1"": 152, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 152}",152,1,0,0,0,0.188,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
19,2026-08-01T22:24:20.752+09:00,2.164,18,8.86,0,DRIVING,,0,1,0,-0.174644,0.288729,0.288729,0,742,green,0,unknown,0.000000,null,0.000000,0.296,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.296,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
