frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T01:57:00.366+09:00,0.209,0,5.13,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,0.074386,-0.750,7324,0,-0.133895,-0.133895,0,749,green,0,unknown,0.000000,null,0.000000,0.192,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.192,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-02T01:57:00.529+09:00,0.378,1,5.46,0,DRIVING,,0,1,1,0,0,0,0.074254,-0.751,7383,0,-0.133420,-0.133420,0,749,green,0,unknown,0.000000,null,0.000000,0.119,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.119,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-02T01:57:00.660+09:00,0.507,2,6.08,0,DRIVING,,0,1,1,0,0,0,0.074098,-0.752,7383,0,-0.132929,-0.132929,0,749,green,0,unknown,0.000000,null,0.000000,0.247,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.247,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-02T01:57:00.796+09:00,0.645,3,6.31,0,DRIVING,,0,1,1,0,0,0,0.074254,-0.753,7383,0,-0.133626,-0.133626,0,749,green,0,unknown,0.000000,null,0.000000,0.233,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.233,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-02T01:57:00.915+09:00,0.763,4,6.67,0,DRIVING,,0,1,1,0,0,0,0.074254,-0.753,7383,0,-0.133635,-0.133635,0,749,green,0,unknown,0.000000,null,0.000000,0.219,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.219,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-02T01:57:01.049+09:00,0.899,5,6.77,0,DRIVING,,0,1,1,0,0,0,0.074254,-0.754,7383,0,-0.133642,-0.133642,0,749,green,0,unknown,0.000000,null,0.000000,0.221,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.221,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-02T01:57:01.207+09:00,1.055,6,6.72,0,DRIVING,,0,1,1,0,0,0,0.074254,-0.754,7389,0,-0.133647,-0.133647,0,749,green,0,unknown,0.000000,null,0.000000,0.376,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.376,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-02T01:57:01.385+09:00,1.234,7,6.55,0,DRIVING,,0,1,1,0,0,0,0.074098,-0.754,7383,0,-0.133087,-0.133087,0,749,green,0,unknown,0.000000,null,0.000000,0.436,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.436,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-02T01:57:01.525+09:00,1.373,8,6.62,0,DRIVING,,0,1,1,0,0,0,0.074098,-0.755,7383,0,-0.133174,-0.133174,0,749,green,0,unknown,0.000000,null,0.000000,0.440,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.440,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-02T01:57:01.636+09:00,1.484,9,6.80,0,DRIVING,,0,1,1,0,0,0,0.074098,-0.755,7383,0,-0.133235,-0.133235,0,749,green,0,unknown,0.000000,null,0.000000,0.394,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.394,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
