frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-01T22:21:35.874+09:00,0.185,0,5.85,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,-0.105882,0.190587,0.190587,0,750,green,0,unknown,0.000000,null,0.000000,0.168,,"{""0"": 111, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 111, ""1"": 131}",111,1,1,0,0,0.168,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
2,2026-08-01T22:21:36.000+09:00,0.320,1,6.46,0,STOPPED_RED,state:DRIVING->STOPPED_RED,1,1,1,-0.105580,0.000000,0.000000,0,750,green,0,unknown,0.000000,null,0.000000,0.083,,"{""0"": 250, ""1"": 132, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 132}",132,1,1,0,0,0.083,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
3,2026-08-01T22:21:36.119+09:00,0.437,2,7.06,0,STOPPED_RED,,1,1,1,-0.105279,0.000000,0.000000,0,749,green,0,unknown,0.000000,null,0.000000,0.199,,"{""0"": 110, ""1"": 133, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 110, ""1"": 133}",110,1,1,0,0,0.199,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
4,2026-08-01T22:21:36.220+09:00,0.540,3,7.57,0,STOPPED_RED,,1,1,1,-0.105580,0.000000,0.000000,0,750,green,0,unknown,0.000000,null,0.000000,0.189,,"{""0"": 109, ""1"": 133, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 109, ""1"": 133}",109,1,1,0,0,0.189,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
5,2026-08-01T22:21:36.335+09:00,0.655,4,7.75,0,STOPPED_RED,,1,1,1,-0.105580,0.000000,0.000000,0,750,green,0,unknown,0.000000,null,0.000000,0.185,,"{""0"": 111, ""1"": 133, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 111, ""1"": 133}",111,1,1,0,0,0.185,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
6,2026-08-01T22:21:36.456+09:00,0.776,5,7.85,0,STOPPED_RED,,1,1,1,-0.105580,0.000000,0.000000,0,749,green,0,unknown,0.000000,null,0.000000,0.304,,"{""0"": 111, ""1"": 133, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 111, ""1"": 133}",111,1,1,0,0,0.304,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
7,2026-08-01T22:21:36.570+09:00,0.888,6,7.98,0,STOPPED_RED,,1,1,1,-0.105279,0.000000,0.000000,0,750,green,0,unknown,0.000000,null,0.000000,0.316,,"{""0"": 250, ""1"": 131, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 131}",131,1,1,0,0,0.316,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
8,2026-08-01T22:21:36.679+09:00,0.999,7,8.09,0,STOPPED_RED,,1,1,1,-0.105882,0.000000,0.000000,0,750,green,0,unknown,0.000000,null,0.000000,0.312,,"{""0"": 250, ""1"": 133, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 133}",133,1,1,0,0,0.312,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
9,2026-08-01T22:21:36.796+09:00,1.117,8,8.14,0,STOPPED_RED,,1,1,1,-0.105580,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.195,,"{""0"": 250, ""1"": 132, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 132}",132,1,1,0,0,0.195,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
10,2026-08-01T22:21:36.908+09:00,1.227,9,8.22,0,STOPPED_RED,,1,1,1,-0.105580,0.000000,0.000000,0,750,green,0,unknown,0.000000,null,0.000000,0.304,,"{""0"": 250, ""1"": 133, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 133}",133,1,1,0,0,0.304,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
