frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
321,2026-08-02T01:34:33.535+09:00,51.166,320,6.28,0,DRIVING,,0,1,0,-0.442995,,0,0,0.798645,0.798645,0,745,red,0,unknown,0.000000,null,0.000000,0.422,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.422,ultrasonic-not-close,KEEP_PAUSED,right,,,0
322,2026-08-02T01:34:33.639+09:00,51.270,321,6.28,0,DRIVING,,0,1,0,-0.442995,,0,0,0.798269,0.798269,0,746,red,1,obstacle-car,0.543936,"[1000, 227, 1244, 627]",0.105449,0.415,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.415,ultrasonic-not-close,KEEP_PAUSED,right,,,0
323,2026-08-02T01:34:33.757+09:00,51.387,322,6.29,0,DRIVING,,0,1,0,-0.442995,,0,0,0.798005,0.798005,0,745,red,0,unknown,0.000000,null,0.000000,0.361,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.361,ultrasonic-not-close,KEEP_PAUSED,right,,,0
324,2026-08-02T01:34:33.998+09:00,51.629,323,6.28,0,DRIVING,,0,1,0,-0.444206,,0,0,0.802180,0.802180,0,745,red,0,unknown,0.000000,null,0.000000,0.601,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.601,ultrasonic-not-close,KEEP_PAUSED,right,,,0
325,2026-08-02T01:34:34.186+09:00,51.816,324,6.27,0,DRIVING,,0,1,0,-0.444206,,0,0,0.801397,0.801397,0,745,red,0,unknown,0.000000,null,0.000000,0.514,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.514,ultrasonic-not-close,KEEP_PAUSED,right,,,0
326,2026-08-02T01:34:34.347+09:00,51.978,325,6.27,0,DRIVING,,0,1,0,-0.444206,,0,0,0.800849,0.800849,0,745,red,0,unknown,0.000000,null,0.000000,0.552,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.552,ultrasonic-not-close,KEEP_PAUSED,right,,,0
327,2026-08-02T01:34:34.487+09:00,52.117,326,6.28,0,DRIVING,,0,1,0,-0.444609,,0,0,0.801919,0.801919,0,745,red,0,unknown,0.000000,null,0.000000,0.454,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.454,ultrasonic-not-close,KEEP_PAUSED,right,,,0
328,2026-08-02T01:34:34.591+09:00,52.220,327,6.28,0,DRIVING,,0,1,0,-0.444609,,0,0,0.801432,0.801432,0,745,red,0,unknown,0.000000,null,0.000000,0.372,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.372,ultrasonic-not-close,KEEP_PAUSED,right,,,0
329,2026-08-02T01:34:34.786+09:00,52.417,328,6.28,0,DRIVING,,0,1,0,-0.444609,,0,0,0.801092,0.801092,0,746,red,0,unknown,0.000000,null,0.000000,0.266,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.266,ultrasonic-not-close,KEEP_PAUSED,right,,,0
330,2026-08-02T01:34:34.919+09:00,52.549,329,6.28,0,DRIVING,,0,1,0,-0.445013,,0,0,0.802306,0.802306,0,745,red,0,unknown,0.000000,null,0.000000,0.295,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.295,ultrasonic-not-close,KEEP_PAUSED,right,,,0
