frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1654,2026-08-01T16:20:22.150+09:00,191.539,1653,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.304,,"{""0"": 193, ""1"": 198, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 198}",193,1,0,0,0,0.304,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1655,2026-08-01T16:20:22.275+09:00,191.665,1654,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.322,,"{""0"": 193, ""1"": 198, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 198}",193,1,0,0,0,0.322,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1656,2026-08-01T16:20:22.392+09:00,191.781,1655,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.438,,"{""0"": 193, ""1"": 199, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 199}",193,1,0,0,0,0.438,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1657,2026-08-01T16:20:22.506+09:00,191.894,1656,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.321,,"{""0"": 193, ""1"": 198, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 198}",193,1,0,0,0,0.321,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1658,2026-08-01T16:20:22.621+09:00,192.010,1657,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.313,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.313,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1659,2026-08-01T16:20:22.742+09:00,192.131,1658,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.201,,"{""0"": 192, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 192, ""1"": 197}",192,1,0,0,0,0.201,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1660,2026-08-01T16:20:22.855+09:00,192.244,1659,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.313,,"{""0"": 192, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 192, ""1"": 197}",192,1,0,0,0,0.313,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1661,2026-08-01T16:20:22.967+09:00,192.356,1660,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,746,green,0,unknown,0.000000,null,0.000000,0.312,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.312,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1662,2026-08-01T16:20:23.083+09:00,192.472,1661,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.306,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.306,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1663,2026-08-01T16:20:23.201+09:00,192.589,1662,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.424,,"{""0"": 195, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 195, ""1"": 197}",195,1,0,0,0,0.424,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
