frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-01T22:49:27.643+09:00,0.176,0,6.19,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0.309141,-0.556453,-0.556453,0,751,green,0,unknown,0.000000,null,0.000000,0.160,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.160,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
2,2026-08-01T22:49:27.772+09:00,0.312,1,6.59,0,STOPPED_RED,state:DRIVING->STOPPED_RED,1,1,1,0.315903,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.083,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.083,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
3,2026-08-01T22:49:27.874+09:00,0.414,2,7.43,0,STOPPED_RED,,1,1,1,0.315021,0.000000,0.000000,0,752,green,0,unknown,0.000000,null,0.000000,0.184,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.184,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
4,2026-08-01T22:49:27.981+09:00,0.522,3,7.79,0,STOPPED_RED,,1,1,1,0.315021,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.178,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.178,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
5,2026-08-01T22:49:28.093+09:00,0.634,4,8.03,0,STOPPED_RED,,1,1,1,0.315021,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.289,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.289,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
6,2026-08-01T22:49:28.199+09:00,0.740,5,8.22,0,STOPPED_RED,,1,1,1,0.315021,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.291,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.291,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
7,2026-08-01T22:49:28.301+09:00,0.842,6,8.41,0,STOPPED_RED,,1,1,1,0.315021,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.289,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.289,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
8,2026-08-01T22:49:28.413+09:00,0.953,7,8.49,0,STOPPED_RED,,1,1,1,0.315021,0.000000,0.000000,0,752,green,0,unknown,0.000000,null,0.000000,0.399,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.399,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
9,2026-08-01T22:49:28.515+09:00,1.055,8,8.60,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.284,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.284,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
10,2026-08-01T22:49:28.631+09:00,1.173,9,8.60,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.299,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.299,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
11,2026-08-01T22:49:28.744+09:00,1.285,10,8.63,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.410,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.410,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
12,2026-08-01T22:49:28.847+09:00,1.388,11,8.71,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.290,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.290,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
13,2026-08-01T22:49:28.953+09:00,1.495,12,8.75,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.291,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.291,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
14,2026-08-01T22:49:29.070+09:00,1.612,13,8.75,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.405,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.405,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
15,2026-08-01T22:49:29.166+09:00,1.707,14,8.83,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.286,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.286,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
16,2026-08-01T22:49:29.274+09:00,1.815,15,8.86,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.290,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.290,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
17,2026-08-01T22:49:29.382+09:00,1.923,16,8.89,0,STOPPED_RED,,1,1,1,0.310625,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.396,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.396,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
18,2026-08-01T22:49:29.482+09:00,2.023,17,8.94,0,STOPPED_RED,,1,1,1,0.308594,0.000000,0.000000,0,751,green,0,unknown,0.000000,null,0.000000,0.283,,"{""0"": 250, ""1"": 50, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 50}",50,1,1,0,0,0.283,car-not-detected-or-stale,KEEP_PAUSED,right,left,,0
