frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,recovery_ramp_active,recovery_ramp_elapsed_s,recovery_ramp_pwm,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_roi_normalized,car_roi_pixels,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T03:32:15.636+09:00,0.121,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,unknown,,,0,unknown,0.000000,null,0.000000,,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,,car-not-detected-or-stale,KEEP_PAUSED,,,,1
2,2026-08-02T03:32:15.762+09:00,0.257,1,7.22,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,green,0.159,,0,unknown,0.000000,null,0.000000,0.237,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.237,car-not-detected-or-stale,KEEP_PAUSED,,,,2
3,2026-08-02T03:32:15.836+09:00,0.327,2,9.52,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,738,unknown,0.117,,0,unknown,0.000000,null,0.000000,0.152,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.152,car-not-detected-or-stale,KEEP_PAUSED,,,,3
4,2026-08-02T03:32:15.923+09:00,0.418,3,10.03,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,unknown,0.189,,0,unknown,0.000000,null,0.000000,0.241,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.241,car-not-detected-or-stale,KEEP_PAUSED,,,,4
5,2026-08-02T03:32:16.000+09:00,0.495,4,10.63,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,green,0.164,,0,unknown,0.000000,null,0.000000,0.205,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.205,car-not-detected-or-stale,KEEP_PAUSED,,,,5
6,2026-08-02T03:32:16.091+09:00,0.586,5,10.72,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,green,0.176,,0,unknown,0.000000,null,0.000000,0.222,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.222,car-not-detected-or-stale,KEEP_PAUSED,,,,6
7,2026-08-02T03:32:16.208+09:00,0.703,6,10.26,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,green,0.182,,0,unknown,0.000000,null,0.000000,0.340,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.340,car-not-detected-or-stale,KEEP_PAUSED,,,,7
8,2026-08-02T03:32:16.278+09:00,0.773,7,10.71,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,green,0.204,,0,unknown,0.000000,null,0.000000,0.238,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.238,car-not-detected-or-stale,KEEP_PAUSED,,,,8
9,2026-08-02T03:32:16.381+09:00,0.876,8,10.58,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,738,green,0.291,,0,unknown,0.000000,null,0.000000,0.245,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.245,car-not-detected-or-stale,KEEP_PAUSED,,,,9
10,2026-08-02T03:32:16.506+09:00,1.000,9,10.21,0,DRIVING,,0,0,1,0,0,0,,,0,0,0.000000,0.000000,0,0,0.000,255,739,green,0.307,,0,unknown,0.000000,null,0.000000,0.178,"[0.2, 0.2, 0.8, 1.0]","[256, 144, 1024, 720]",,"{""0"": 250, ""1"": 58, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 58}",58,1,1,0,0,0.178,car-not-detected-or-stale,KEEP_PAUSED,,,,10
