frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
970,2026-08-02T02:11:35.972+09:00,162.155,969,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.494,5826,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.589,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.589,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
971,2026-08-02T02:11:36.175+09:00,162.358,970,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.495,5837,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.541,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.541,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
972,2026-08-02T02:11:36.319+09:00,162.500,971,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.504,5832,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.515,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.515,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
973,2026-08-02T02:11:36.465+09:00,162.647,972,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.513,5837,0,-0.193076,-0.193076,0,740,unknown,0,unknown,0.000000,null,0.000000,0.456,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.456,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
974,2026-08-02T02:11:36.577+09:00,162.760,973,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.524,5848,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.367,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.367,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
975,2026-08-02T02:11:36.721+09:00,162.904,974,5.99,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.527,5851,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.219,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.219,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
976,2026-08-02T02:11:36.923+09:00,163.105,975,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.537,5852,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.309,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.309,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
977,2026-08-02T02:11:37.138+09:00,163.321,976,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.541,5844,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.526,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.526,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
978,2026-08-02T02:11:37.361+09:00,163.544,977,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.541,5855,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.404,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.404,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
979,2026-08-02T02:11:37.524+09:00,163.706,978,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.545,5848,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.565,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.001, ""1"": 0.001, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.564,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
