frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-01T16:05:24.151+09:00,0.449,0,2.45,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,0,-0.220330,0.396594,0.396594,0,751,unknown,0,unknown,0.000000,null,0.000000,0.407,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.407,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-01T16:05:24.444+09:00,0.758,1,2.75,0,DRIVING,,0,1,0,-0.229332,0.429003,0.429003,0,751,unknown,0,unknown,0.000000,null,0.000000,0.217,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.217,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-01T16:05:24.714+09:00,1.025,2,3.02,0,DRIVING,,0,1,0,-0.233600,0.439505,0.439505,0,751,unknown,0,unknown,0.000000,null,0.000000,0.209,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.209,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-01T16:05:24.975+09:00,1.290,3,3.17,0,DRIVING,,0,1,0,-0.237545,0.448001,0.448001,0,751,unknown,0,unknown,0.000000,null,0.000000,0.202,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.001, ""1"": 0.001, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.201,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-01T16:05:25.206+09:00,1.522,4,3.35,0,DRIVING,,0,1,0,-0.240019,0.450779,0.450779,0,750,unknown,0,unknown,0.000000,null,0.000000,0.175,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.175,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-01T16:05:25.440+09:00,1.755,5,3.48,0,DRIVING,,0,1,0,-0.241933,0.452045,0.452045,0,750,unknown,0,unknown,0.000000,null,0.000000,0.177,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.177,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-01T16:05:25.717+09:00,2.032,6,3.50,0,DRIVING,,0,1,0,-0.243218,0.451703,0.451703,0,750,unknown,0,unknown,0.000000,null,0.000000,0.222,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.222,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-01T16:05:26.016+09:00,2.331,7,3.47,0,DRIVING,,0,1,0,-0.244614,0.452557,0.452557,0,750,unknown,0,unknown,0.000000,null,0.000000,0.245,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.245,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-01T16:05:26.371+09:00,2.685,8,3.39,0,DRIVING,,0,1,0,-0.245383,0.451649,0.451649,0,750,unknown,0,unknown,0.000000,null,0.000000,0.298,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.298,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-01T16:05:26.705+09:00,3.020,9,3.34,0,DRIVING,,0,1,0,-0.246187,0.451556,0.451556,0,751,unknown,0,unknown,0.000000,null,0.000000,0.276,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.276,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
