frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,recovery_ramp_active,recovery_ramp_elapsed_s,recovery_ramp_pwm,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_roi_normalized,car_roi_pixels,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T03:37:26.915+09:00,0.301,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,1,0.010098,3.109,5084,0,-0.018176,-0.018176,0,0,0.000,255,739,unknown,,,0,unknown,0.000000,null,0.000000,,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 125, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 125}",125,1,1,0,0,,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
2,2026-08-02T03:37:27.150+09:00,0.553,1,3.90,0,DRIVING,,0,1,1,0,0,1,0.009330,3.101,5138,0,-0.015414,-0.015414,0,0,0.000,255,739,green,0.383,,0,unknown,0.000000,null,0.000000,0.150,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 125, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 125}",125,1,1,0,0,0.150,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
3,2026-08-02T03:37:27.412+09:00,0.810,2,3.87,0,DRIVING,,0,1,1,0,0,1,0.009330,3.095,5138,0,-0.015828,-0.015828,0,0,0.000,255,739,green,0.224,,0,unknown,0.000000,null,0.000000,0.195,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 124, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 124}",124,1,1,0,0,0.195,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
4,2026-08-02T03:37:27.688+09:00,1.089,3,3.78,0,DRIVING,,0,1,1,0,0,1,0.009330,3.092,5130,0,-0.016118,-0.016118,0,0,0.000,255,739,green,0.274,,0,unknown,0.000000,null,0.000000,0.207,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 125, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 125}",125,1,1,0,0,0.207,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
5,2026-08-02T03:37:28.058+09:00,1.459,4,3.44,0,DRIVING,,0,1,1,0,0,1,0.009330,3.090,5130,0,-0.016321,-0.016321,0,0,0.000,255,739,green,0.281,,0,unknown,0.000000,null,0.000000,0.302,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 124, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 124}",124,1,1,0,0,0.302,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
6,2026-08-02T03:37:28.446+09:00,1.847,5,3.22,0,DRIVING,,0,1,1,0,0,1,0.009330,3.085,5140,0,-0.016463,-0.016463,0,0,0.000,255,739,green,0.377,,0,unknown,0.000000,null,0.000000,0.320,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 124, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 124}",124,1,1,0,0,0.320,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
7,2026-08-02T03:37:28.712+09:00,2.113,6,3.31,0,DRIVING,,0,1,1,0,0,1,0.009330,3.082,5140,0,-0.016563,-0.016563,0,0,0.000,255,739,green,0.396,,0,unknown,0.000000,null,0.000000,0.194,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 125, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 125}",125,1,1,0,0,0.194,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
8,2026-08-02T03:37:29.021+09:00,2.424,7,3.29,0,DRIVING,,0,1,1,0,0,1,0.009330,3.081,5138,0,-0.016632,-0.016632,0,0,0.000,255,739,green,0.272,,0,unknown,0.000000,null,0.000000,0.242,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 125, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 125}",125,1,1,0,0,0.242,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
9,2026-08-02T03:37:29.491+09:00,2.891,8,3.09,0,DRIVING,,0,1,1,0,0,1,0.009330,3.082,5125,0,-0.016681,-0.016681,0,0,0.000,255,739,green,0.319,,0,unknown,0.000000,null,0.000000,0.395,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 125, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 125}",125,1,1,0,0,0.395,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
10,2026-08-02T03:37:29.800+09:00,3.204,9,3.09,0,DRIVING,,0,1,1,0,0,1,0.009330,3.080,5140,0,-0.016715,-0.016715,0,0,0.000,255,739,green,0.480,,0,unknown,0.000000,null,0.000000,0.239,"[0.2, 0.41, 0.8, 1.0]","[256, 295, 1024, 720]",,"{""0"": 250, ""1"": 124, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 124}",124,1,1,0,0,0.239,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
