frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,recovery_ramp_active,recovery_ramp_elapsed_s,recovery_ramp_pwm,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T02:53:19.816+09:00,0.138,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,-0.013086,0.933,7477,0,0.023555,0.023555,0,0,0.000,255,748,unknown,,,0,unknown,0.000000,null,0.000000,,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
2,2026-08-02T02:53:19.932+09:00,0.263,1,7.86,0,DRIVING,,0,1,1,0,0,0,-0.015975,0.934,7706,0,0.033954,0.033954,0,0,0.000,255,748,green,0.187,,0,unknown,0.000000,null,0.000000,0.247,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.247,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
3,2026-08-02T02:53:20.030+09:00,0.360,2,8.93,0,DRIVING,,0,1,1,0,0,0,-0.016785,0.937,7702,0,0.035311,0.035311,0,0,0.000,255,748,green,0.105,,0,unknown,0.000000,null,0.000000,0.161,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.161,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
4,2026-08-02T02:53:20.126+09:00,0.458,3,9.26,0,DRIVING,,0,1,1,0,0,0,-0.016993,0.938,7698,0,0.034530,0.034530,0,0,0.000,255,748,green,0.204,,0,unknown,0.000000,null,0.000000,0.158,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.158,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
5,2026-08-02T02:53:20.241+09:00,0.572,4,9.15,0,DRIVING,,0,1,1,0,0,0,-0.017318,0.939,7702,0,0.034519,0.034519,0,0,0.000,255,748,green,0.197,,0,unknown,0.000000,null,0.000000,0.272,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.272,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
6,2026-08-02T02:53:20.338+09:00,0.670,5,9.37,0,DRIVING,,0,1,1,0,0,0,-0.017275,0.947,7745,0,0.033359,0.033359,0,0,0.000,255,748,green,0.213,,0,unknown,0.000000,null,0.000000,0.271,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.271,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
7,2026-08-02T02:53:20.458+09:00,0.789,6,9.20,0,DRIVING,,0,1,1,0,0,0,-0.017696,0.945,7706,0,0.034197,0.034197,0,0,0.000,255,748,green,0.216,,0,unknown,0.000000,null,0.000000,0.180,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.180,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
8,2026-08-02T02:53:20.601+09:00,0.933,7,8.75,0,DRIVING,,0,1,1,0,0,0,-0.017845,0.944,7702,0,0.034027,0.034027,0,0,0.000,255,748,green,0.223,,0,unknown,0.000000,null,0.000000,0.328,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.328,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
9,2026-08-02T02:53:20.701+09:00,1.032,8,8.92,0,DRIVING,,0,1,1,0,0,0,-0.017956,0.945,7699,0,0.033855,0.033855,0,0,0.000,255,748,green,0.266,,0,unknown,0.000000,null,0.000000,0.327,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.327,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
10,2026-08-02T02:53:20.817+09:00,1.149,9,8.88,0,DRIVING,,0,1,1,0,0,0,-0.018041,0.944,7702,0,0.033700,0.033700,0,0,0.000,255,748,green,0.245,,0,unknown,0.000000,null,0.000000,0.323,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.323,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
