frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,recovery_ramp_active,recovery_ramp_elapsed_s,recovery_ramp_pwm,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T03:04:44.665+09:00,0.125,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,-0.229127,15.919,8282,0,0.412428,0.412428,0,0,0.000,255,738,unknown,,,0,unknown,0.000000,null,0.000000,,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
2,2026-08-02T03:04:44.763+09:00,0.232,1,8.86,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.911,8274,0,0.415783,0.415783,0,0,0.000,255,738,unknown,0.172,,0,unknown,0.000000,null,0.000000,0.220,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.220,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
3,2026-08-02T03:04:44.858+09:00,0.327,2,9.74,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.907,8284,0,0.415280,0.415280,0,0,0.000,255,737,unknown,0.089,,0,unknown,0.000000,null,0.000000,0.146,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.146,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
4,2026-08-02T03:04:45.001+09:00,0.470,3,8.60,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.903,8284,0,0.414927,0.414927,0,0,0.000,255,737,unknown,0.101,,0,unknown,0.000000,null,0.000000,0.288,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.288,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
5,2026-08-02T03:04:45.098+09:00,0.566,4,8.98,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.902,8282,0,0.414681,0.414681,0,0,0.000,255,738,unknown,0.146,,0,unknown,0.000000,null,0.000000,0.298,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.298,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
6,2026-08-02T03:04:45.192+09:00,0.660,5,9.27,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.896,8270,0,0.414508,0.414508,0,0,0.000,255,738,unknown,0.242,,0,unknown,0.000000,null,0.000000,0.297,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.297,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
7,2026-08-02T03:04:45.308+09:00,0.777,6,9.14,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.891,8292,0,0.414387,0.414387,0,0,0.000,255,738,unknown,0.194,,0,unknown,0.000000,null,0.000000,0.176,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.176,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
8,2026-08-02T03:04:45.414+09:00,0.883,7,9.20,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.891,8271,0,0.414303,0.414303,0,0,0.000,255,737,unknown,0.215,,0,unknown,0.000000,null,0.000000,0.280,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.280,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
9,2026-08-02T03:04:45.513+09:00,0.982,8,9.31,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.892,8280,0,0.414244,0.414244,0,0,0.000,255,737,unknown,0.227,,0,unknown,0.000000,null,0.000000,0.285,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.285,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
10,2026-08-02T03:04:45.617+09:00,1.086,9,9.33,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.890,8303,0,0.414202,0.414202,0,0,0.000,255,737,unknown,0.210,,0,unknown,0.000000,null,0.000000,0.273,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.273,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
11,2026-08-02T03:04:45.723+09:00,1.191,10,9.36,0,DRIVING,,0,1,1,0,0,0,-0.230059,15.889,8278,0,0.414173,0.414173,0,0,0.000,255,738,unknown,0.206,,0,unknown,0.000000,null,0.000000,0.171,,"{""0"": 250, ""1"": 129, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 129}",129,1,1,0,0,0.171,car-not-detected-or-stale,KEEP_PAUSED,left,right,,0
