frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T01:59:18.150+09:00,0.225,0,4.92,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,0.052658,0.487,7394,45,-0.094784,-0.094784,0,749,unknown,0,unknown,0.000000,null,0.000000,0.202,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.202,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
2,2026-08-02T01:59:18.317+09:00,0.399,1,5.31,0,DRIVING,,0,1,1,0,0,0,0.152718,-0.251,10559,0,-0.454999,-0.454999,0,757,green,0,unknown,0.000000,null,0.000000,0.121,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.121,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
3,2026-08-02T01:59:18.472+09:00,0.554,2,5.64,0,DRIVING,,0,1,1,0,0,0,0.160304,-1.358,10687,0,-0.428278,-0.428278,0,752,green,0,unknown,0.000000,null,0.000000,0.277,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.277,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
4,2026-08-02T01:59:18.591+09:00,0.674,3,6.12,0,DRIVING,,0,1,1,0,0,0,0.142430,-2.275,10962,0,-0.322013,-0.322013,0,751,green,0,unknown,0.000000,null,0.000000,0.242,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.242,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
5,2026-08-02T01:59:18.702+09:00,0.783,4,6.56,0,DRIVING,,0,1,1,0,0,0,0.109015,-2.940,10885,0,-0.182027,-0.182027,0,750,green,0,unknown,0.000000,null,0.000000,0.195,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.195,ultrasonic-not-close,KEEP_PAUSED,,,,0
6,2026-08-02T01:59:18.868+09:00,0.951,5,6.45,0,DRIVING,,0,1,1,0,0,0,0.078834,-3.389,10920,0,-0.077634,-0.077634,0,750,green,0,unknown,0.000000,null,0.000000,0.244,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.244,ultrasonic-not-close,KEEP_PAUSED,,,,0
7,2026-08-02T01:59:19.096+09:00,1.178,6,6.05,0,DRIVING,,0,1,1,0,0,0,0.064060,-3.684,10851,0,-0.043728,-0.043728,0,751,green,0,unknown,0.000000,null,0.000000,0.360,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.360,ultrasonic-not-close,KEEP_PAUSED,,,,0
8,2026-08-02T01:59:19.245+09:00,1.328,7,6.12,0,DRIVING,,0,1,1,0,0,0,0.022148,-3.664,10518,0,0.085679,0.085679,0,749,green,0,unknown,0.000000,null,0.000000,0.511,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.511,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
9,2026-08-02T01:59:19.477+09:00,1.559,8,5.85,0,DRIVING,,0,1,1,0,0,0,-0.003044,-3.497,9942,0,0.138708,0.138708,0,751,green,0,unknown,0.000000,null,0.000000,0.347,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.347,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
10,2026-08-02T01:59:19.699+09:00,1.781,9,5.68,0,DRIVING,,0,1,1,0,0,0,-0.009626,-3.404,9936,9,0.122435,0.122435,0,751,green,0,unknown,0.000000,null,0.000000,0.421,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.421,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
