frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,recovery_ramp_active,recovery_ramp_elapsed_s,recovery_ramp_pwm,steering_pot,traffic_signal,traffic_result_age_s,traffic_model_fault,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_roi_normalized,car_roi_pixels,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1,2026-08-02T03:29:56.854+09:00,0.134,0,0.00,0,DRIVING,state:None->DRIVING;phase:None->KEEP_PAUSED,0,1,1,0,0,0,0.041603,-0.290,7943,0,-0.074886,-0.074886,0,0,0.000,255,746,unknown,,,0,unknown,0.000000,null,0.000000,,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
2,2026-08-02T03:29:56.947+09:00,0.235,1,9.48,0,DRIVING,,0,1,1,0,0,0,0.039479,-0.263,8005,0,-0.067240,-0.067240,0,0,0.000,255,746,green,0.173,,0,unknown,0.000000,null,0.000000,0.223,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.223,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
3,2026-08-02T03:29:57.075+09:00,0.361,2,8.65,0,DRIVING,,0,1,1,0,0,0,0.039209,-0.242,7987,0,-0.067412,-0.067412,0,0,0.000,255,746,green,0.089,,0,unknown,0.000000,null,0.000000,0.179,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.179,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
4,2026-08-02T03:29:57.190+09:00,0.477,3,8.66,0,DRIVING,,0,1,1,0,0,0,0.038877,-0.222,7981,0,-0.067167,-0.067167,0,0,0.000,255,745,green,0.130,,0,unknown,0.000000,null,0.000000,0.295,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.295,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
5,2026-08-02T03:29:57.286+09:00,0.572,4,9.06,0,DRIVING,,0,1,1,0,0,0,0.038588,-0.213,7982,0,-0.066972,-0.066972,0,0,0.000,255,746,green,0.118,,0,unknown,0.000000,null,0.000000,0.304,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.304,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
6,2026-08-02T03:29:57.378+09:00,0.661,5,9.39,0,DRIVING,,0,1,1,0,0,0,0.038421,-0.204,7975,0,-0.067114,-0.067114,0,0,0.000,255,746,green,0.215,,0,unknown,0.000000,null,0.000000,0.268,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.268,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
7,2026-08-02T03:29:57.479+09:00,0.765,6,9.46,0,DRIVING,,0,1,1,0,0,0,0.038295,-0.197,7982,0,-0.067274,-0.067274,0,0,0.000,255,746,green,0.193,,0,unknown,0.000000,null,0.000000,0.158,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.158,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
8,2026-08-02T03:29:57.612+09:00,0.899,7,9.11,0,DRIVING,,0,1,1,0,0,0,0.038200,-0.190,7977,0,-0.067431,-0.067431,0,0,0.000,255,746,green,0.196,,0,unknown,0.000000,null,0.000000,0.293,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.293,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
9,2026-08-02T03:29:57.708+09:00,0.995,8,9.25,0,DRIVING,,0,1,1,0,0,0,0.038130,-0.193,7957,0,-0.067575,-0.067575,0,0,0.000,255,746,green,0.235,,0,unknown,0.000000,null,0.000000,0.294,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.294,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
10,2026-08-02T03:29:57.796+09:00,1.082,9,9.46,0,DRIVING,,0,1,1,0,0,0,0.038076,-0.190,7967,0,-0.067701,-0.067701,0,0,0.000,255,745,green,0.233,,0,unknown,0.000000,null,0.000000,0.282,"[0.0, 0.0, 1.0, 1.0]","[0, 0, 1280, 720]",,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.282,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
